date,pitcher_id,pitcher_handedness,player_height,arm_slot,back_hip_flexion_at_foot_plant,back_hip_flexion_at_mer,back_hip_flexion_at_ball_release,back_knee_flexion_at_foot_plant,back_knee_flexion_at_mer,back_knee_flexion_at_ball_release,back_leg_external_rotation_velo_max,center_of_mass_velo_max,glove_elbow_flexion_at_foot_plant,glove_elbow_flexion_at_mer,glove_elbow_flexion_at_ball_release,glove_shoulder_abduction_at_foot_plant,glove_shoulder_abduction_at_mer,glove_shoulder_abduction_at_ball_release,glove_shoulder_horizontal_abduction_at_foot_plant,glove_shoulder_horizontal_abduction_at_mer,glove_shoulder_horizontal_abduction_at_ball_release,glove_shoulder_external_rotation_at_foot_plant,glove_shoulder_external_rotation_at_mer,glove_shoulder_external_rotation_at_ball_release,hip_shoulder_separation_at_foot_plant,hip_shoulder_separation_at_ball_release,hip_shoulder_separation_max,lead_hip_flexion_at_foot_plant,lead_hip_flexion_at_mer,lead_hip_flexion_at_ball_release,lead_knee_extension_velo_max,lead_knee_flexion_at_foot_plant,lead_knee_flexion_at_mer,lead_knee_flexion_at_ball_release,lead_leg_internal_rotation_velo_max,pelvis_rotation_at_foot_plant,pelvis_rotation_at_mer,pelvis_rotation_at_ball_release,pelvis_rotation_velo_max,stride_angle,stride_length,throw_elbow_extension_velo_max,throw_elbow_flexion_at_foot_plant,throw_elbow_flexion_at_mer,throw_elbow_flexion_at_ball_release,throw_shoulder_abduction_at_foot_plant,throw_shoulder_abduction_at_mer,throw_shoulder_abduction_at_ball_release,throw_shoulder_horizontal_abduction_at_foot_plant,throw_shoulder_horizontal_abduction_at_mer,throw_shoulder_horizontal_abduction_at_ball_release,throw_shoulder_external_rotation_at_foot_plant,throw_shoulder_external_rotation_at_ball_release,throw_shoulder_external_rotation_max,throw_shoulder_internal_rotation_velo_max,torso_forward_bend_at_foot_plant,torso_forward_bend_at_mer,torso_forward_bend_at_ball_release,torso_rotation_at_foot_plant,torso_rotation_at_mer,torso_rotation_at_ball_release,torso_rotation_velo_max,torso_sidebend_at_foot_plant,torso_sidebend_at_mer,torso_sidebend_at_ball_release
7/12/25,64,r,5.87,27.20643191,-20.35844594,-2.353190009,3.394376192,43.91155108,54.68911643,58.15055721,188.6348935,10.43,127.7647948,72.85118103,71.85826743,75.382,38.39,34.66,27.86,-43.782,-46.364,18.934,32.366,37.645,28.54580536,-15.33771457,39.41585274,58.12763332,68.92930701,69.14120238,430.0501649,37.05638139,13.3183728,7.006244538,-506.8620597,45.70848207,75.18186059,77.89314014,693.7864805,-3.640132122,5.14842796,1401.652563,64.97446681,56.7713714,37.57268093,89.91317335,96.22186208,103.0067004,71.69860515,-6.305224046,-19.4586266,40.87289193,164.9518482,187.2574283,5040.427007,-1.586238658,31.78532808,36.92624839,17.06797954,99.33446565,106.1069867,1086.974183,0.063058709,19.78049868,18.56862992
5/6/24,126,l,6.06,31.041,-32.736,-23.488,-19.546,32.682,43.124,45.863,497.172,10.43700027,95.405,101.306,102.169,51.19800186,53.25400162,53.29499817,34.11500168,-26.62599945,-36.02299881,-35.60699844,-5.510000229,-0.985000014,43.119,-4.523,51.503,56.411,83.569,85.597,125.155,56.044,57.794,56.862,-190.608,47.154,81.81,85.232,612.654,8.36,5.521,1883.673,115.616,66.404,44.093,66.961,82.169,83.697,18.965,-22.319,-25.957,84.76,168.142,174.225,3931.859,-10.048,15.397,22.296,3.158,87.328,99.608,1147.195,-1.894,33.031,34.838
6/2/25,235,l,6.15,23.39349727,-10.71870456,10.01555632,19.20206247,39.91141429,66.13096315,72.99684906,234.4243265,9.852,88.48230303,95.66652442,97.84760005,61.216,54.858,56.243,36.73,-39.711,-48.181,-18.629,14.661,15.764,31.34997177,-1.710498135,50.89514287,77.78749214,102.0534745,104.3854591,243.5277642,47.55633425,50.12408359,47.00513718,-2.768857926,43.65248597,81.055405,85.72706533,413.893174,-1.25383326,5.445840649,2000.142269,108.726578,67.88718298,34.57514683,83.09196597,101.614097,106.3795278,40.44566038,-18.59871129,-26.13502352,67.70933798,184.4205699,198.049152,4675.978785,7.632413578,37.26232675,43.8792311,12.92193388,90.71299603,101.7526167,853.1435682,4.428465891,21.58531462,21.11914224
6/2/25,235,l,6.16,23.83999138,-15.62089229,1.528645403,13.47415736,41.94557398,59.34803108,67.49046382,177.7243155,9.633,90.67696055,95.78768122,98.22050232,54.009,49.981,52.233,30.707,-24.926,-41.128,-19.708,12.285,13.397,28.58306161,2.447790197,47.89835691,83.94251024,99.15664599,102.3035329,276.0989281,49.83643152,49.75848473,45.12339092,-34.30326829,53.58535541,78.17862443,85.16076534,380.3887971,-1.884809765,5.494543835,1530.171393,108.2970751,87.87917171,54.55421145,79.9709995,95.93220029,96.34604079,29.98873326,-14.07085281,-27.33392198,91.83548938,170.3514925,191.954216,3533.162308,9.074285724,31.36347294,40.6536622,25.53751475,79.2838292,96.21361015,850.1713241,6.117549242,19.87738482,19.4404007
7/24/25,157,l,5.64,9.08646982,-28.81142121,-19.49903075,-16.68414176,36.0948711,41.77440537,41.92293812,395.9701517,9.258,87.19803245,84.50611639,85.71678596,54.029,35.189,35.221,44.768,-14.92,-21.314,-21.329,13.131,16.155,22.63866268,-12.03533068,34.58118816,66.79689203,75.36870568,76.24518322,211.1361921,38.90156124,38.87755711,38.18217782,-24.41848574,49.46715101,81.64905442,84.14326468,465.1093146,-14.22720772,5.191727233,2000.550777,107.6476475,68.50525484,50.74757744,79.55399984,76.51715459,77.47569807,34.99720939,-14.73766464,-15.40864106,93.38459066,167.9019097,170.6932957,3467.361582,8.174508013,16.51338033,18.23521983,26.82672238,93.70557698,101.7939837,1031.478747,-4.567343458,11.57764667,12.23517422
7/1/25,197,l,5.75,24.94488717,-26.1459731,1.68322504,9.953796287,46.33806422,65.66688758,70.54934265,218.5128132,10.836,64.62389479,63.10910822,61.41529746,58.745,37.821,38.859,42.629,-26.395,-40.651,-23.373,50.342,56.666,27.59366922,-13.79063772,37.99485669,83.41811306,93.39017258,93.63172685,346.9050119,62.58362789,60.42973026,56.31749736,-215.6220596,56.25687264,75.05167992,78.42195052,802.1473875,-0.630403669,5.262433242,2123.624186,124.8849829,77.77951655,42.49495547,95.30310659,91.28412316,93.3752215,41.97463941,-12.32836219,-17.0097186,108.3168273,185.7823152,193.6463152,831.2507613,2.466250562,31.3617401,38.82492513,28.47246045,90.43003,105.2795255,965.147495,8.694657214,24.75846726,23.38791447
6/17/25,111,l,5.87,9.243712747,-20.66710112,4.969210955,7.84328239,33.01070925,40.74837362,41.18962117,275.5363472,8.898,70.11399103,83.06414687,84.94881019,61.464,44.615,44.137,8.334,-24.442,-28.339,-4.785,33.223,35.973,22.72078601,-2.97764826,43.76634865,71.37629559,84.19540867,84.53684191,447.4439989,47.81318942,28.17132061,25.05972527,27.87936221,55.62745132,82.64307576,84.01964314,557.8411483,-7.290158223,4.924025107,1847.666741,74.80551795,53.96354052,41.23809299,90.31946929,83.70528666,85.35864268,66.42110219,-15.81439949,-19.74855843,102.7593053,194.076583,197.4548846,4597.118341,6.150586658,38.81124947,41.98268345,32.9609086,94.31482486,99.32296466,782.5239758,6.602477079,18.40347705,17.52983626
5/27/25,270,r,5.84,25.29653482,-5.99871331,-14.71109345,-11.19796034,42.86949003,31.12450459,29.60954518,514.5074946,9.686,77.33742394,86.99609651,87.79016982,85.158,42.057,43.858,-34.594,-25.931,-36.879,-135.274,9.726,21.222,39.9103505,-21.36012188,40.25898747,60.44172014,76.35106709,77.46328107,344.2194937,35.69365783,31.99323137,27.91150682,44.02712572,29.60805317,67.48505646,68.90583035,661.9849971,-10.96067447,5.34274625,1641.443591,98.91338937,81.64648546,53.33674942,82.58045058,94.24845615,99.39548167,50.12148584,-2.203993307,-14.64014878,7.617326036,169.2514815,184.3088746,4318.652725,8.782155892,28.34937061,32.96845187,-10.62161871,89.65326921,99.06609679,892.5982762,-0.530460357,9.43766059,9.745991552
6/24/25,2,l,6.41,21.59621963,-17.05503211,-8.977434085,-0.406130625,36.41522053,69.56071072,79.19436139,204.8525734,9.513,72.9603794,102.0852564,104.1692571,55.405,26.626,27.225,75.243,20.319,-1.399,-69.398,-23.014,-5.906,20.84035078,-34.8511512,26.31240656,61.35551797,78.52832538,80.30904816,197.1813709,41.90799576,45.86407062,44.1213474,101.6202371,35.13855753,69.78606496,73.39047498,464.5411433,-9.781775968,5.347547452,1948.559645,110.9260103,64.44060794,33.74966863,85.57210494,82.39015368,87.49085574,25.54287586,-0.936612686,-2.930108516,76.11118214,156.934938,169.9545314,4525.244874,3.441793754,18.32792887,21.97946242,14.14008675,102.1469709,112.9341634,977.981086,-3.979511921,15.21182101,14.10304498
5/15/25,271,r,6.03,45.2450678,-23.11794322,5.823710161,13.24223092,45.9422622,58.64831056,62.75886458,189.8739848,10.54,98.95222623,110.2511177,109.7701835,55.063,43.586,43.4,15.063,-37.454,-45.294,-43.811,15.636,23.71,33.76318085,2.261484638,48.35496292,67.0060591,86.13311316,86.92073483,389.2000671,38.63188799,27.80796434,22.73048694,20.60983962,47.99870651,78.56797173,80.716256,680.8599948,-9.865799777,5.676912925,2335.547732,97.34130036,77.09096926,47.82963858,87.88607556,106.8203963,113.9744906,62.11150463,-8.74068196,-17.81661949,51.2066263,173.7564147,188.34011,6228.932021,-1.122804895,31.96023688,37.13102805,13.02514982,85.60160101,92.74320432,887.8584682,-0.486171473,25.12705015,24.00362876
